37037,3744,1,1,Mensual,2008-03-16,659.52
94020,9088,2,1,Única,2006-05-02,2125078.64
76496,7644,2,4,Mensual,2014-03-26,1224.72
114857,10803,2,1,Mensual,2007-12-11,1822.2
12721,1848,2,4,Semestral,2013-02-12,8307.61
5886,928,2,1,Mensual,2012-02-27,2703.96
78154,7830,2,3,Mensual,2007-10-29,1155.41
59768,5361,1,1,Mensual,2016-10-17,6130.9
18710,1180,2,4,Mensual,2016-12-07,2722.19
25603,2127,2,2,Mensual,2013-01-31,1636.71
159631,15325,2,1,Semestral,2002-02-09,10953.4
315626,29685,2,6,Mensual,2015-06-22,2240.8
287181,27801,2,4,Anual,2016-05-08,3813.82
53086,5707,2,3,Anual,2017-06-05,19210.1
102163,9441,2,6,Mensual,2009-12-14,6492.32
216118,20357,2,4,Mensual,2017-08-25,1922.12
199704,18301,2,3,Mensual,2006-11-05,6108.77
127918,12954,2,3,Anual,2005-07-02,16887.84
189739,18445,2,1,Única,2005-05-28,17181.47
277557,26337,1,2,Semestral,2011-01-31,19242.53
80416,7604,1,4,Mensual,2011-09-23,1977.56
102018,9461,2,1,Mensual,2015-11-10,686.32
131212,12151,1,3,Mensual,2001-03-01,2370.52
80610,7994,2,4,Mensual,2004-10-15,2564.7
111594,10273,1,3,Mensual,2007-03-19,2299.92
77226,7140,2,2,Mensual,2012-09-05,2300.39
219672,20922,1,6,Mensual,2011-08-22,6376.04
133072,12857,1,6,Mensual,2015-08-05,926.42
121804,11022,2,5,Mensual,2005-01-21,2385
305079,28070,2,1,Mensual,2007-02-08,6316.83
124703,11330,2,1,Mensual,2013-04-11,6227.26
301616,28272,2,6,Mensual,2014-04-25,1352.88
230384,21478,2,3,Mensual,2011-05-16,1721.95
159106,15596,2,4,Semestral,2016-10-10,4606.7
212219,20898,1,2,Anual,2009-09-09,17333.49
236127,22975,2,5,Mensual,2007-12-24,510.76
31938,3691,1,2,Semestral,2013-02-01,3025.66
192784,18151,2,2,Semestral,2010-06-15,9483.73
145749,13558,2,3,Mensual,2016-10-08,358.63
50326,4408,2,2,Mensual,2013-01-05,2454.75
306140,28167,2,6,Mensual,2004-11-01,900.01
227699,21466,2,5,Mensual,2008-05-01,1378.26
60965,5568,1,1,Mensual,2015-02-25,1923.55
57139,5826,2,5,Mensual,2010-09-17,1995.77
297766,28258,2,1,Anual,2017-04-13,26143.27
285250,26087,2,3,Mensual,2008-09-02,2537.45
19957,1962,2,1,Mensual,2009-12-07,2050.16
164355,15346,2,1,Mensual,2001-12-22,6185.72
202140,19037,2,3,Mensual,2017-09-29,2713.7
122679,11733,2,1,Mensual,2003-02-25,6176.44
242053,23541,2,4,Anual,2007-06-28,19980.64
44136,4693,2,2,Mensual,2015-10-05,1653.82
274544,25538,1,2,Mensual,2013-12-03,1094.96
237308,22540,2,3,Mensual,2004-11-11,1984.13
19318,1116,2,4,Mensual,2009-03-30,1464.04
50423,4319,2,4,Mensual,2014-12-27,883.38
7123,975,2,1,Mensual,2009-11-03,2227.79
295792,27273,2,2,Mensual,2004-02-05,2117.83
236795,22058,2,5,Mensual,2008-07-16,2311.24
143970,13073,2,4,Mensual,2005-02-04,2649.73
163801,15693,2,3,Mensual,2016-12-17,2163.86
25221,2274,2,6,Mensual,2013-02-09,6122.81
307984,29075,2,4,Anual,2003-09-08,15375.17
29206,2616,2,1,Mensual,2007-12-11,1858.91
282339,26656,2,1,Mensual,2003-01-24,6473.36
162741,15073,1,4,Mensual,2007-03-27,1898.42
