1,3,1,6,9000000.00,22%,15,24,2
2,4,2,2,350000.00,5%,5,4,2
3,8,3,1,500000.00,5%,3,5,1
4,14,4,5,6000000.00,20%,11,13,3
5,19,5,5,3000000.00,20%,12,11,2
6,24,6,5,4000000.00,20%,10,13,2
7,26,7,3,800000.00,10%,4,10,2
8,36,8,1,250000.00,5%,5,3,1
9,44,9,1,250000.00,5%,6,2,2
10,55,10,1,500000.00,5%,5,5,2
11,62,11,4,2000000.00,15%,10,9,3
12,76,12,1,450000.00,5%,6,2,2
13,77,13,1,250000.00,5%,3,4,2
14,80,14,1,500000.00,5%,3,5,1
15,88,15,1,450000.00,5%,4,5,1
16,92,16,4,2750000.00,15%,6,10,3
17,97,17,3,1000000.00,10%,7,4,2
18,99,18,6,8000000.00,22%,18,17,3
19,106,19,1,500000.00,5%,4,6,1
20,109,20,6,10000000.00,22%,12,16,3
21,117,21,5,4000000.00,20%,9,14,2
22,121,22,5,3000000.00,20%,12,10,2
23,127,23,4,1500000.00,15%,8,9,3
24,133,24,4,1250000.00,15%,8,6,2
25,139,25,6,9000000.00,22%,16,24,2
26,148,26,2,250000.00,5%,3,6,1
27,149,27,5,5000000.00,20%,8,13,3
28,177,28,4,1500000.00,15%,8,6,3
29,179,29,2,450000.00,5%,3,5,1
30,183,30,6,9000000.00,22%,10,19,4
31,189,31,1,450000.00,5%,4,6,2
32,194,32,5,6000000.00,20%,12,13,2
33,197,33,1,350000.00,5%,5,6,2
34,209,34,5,4000000.00,20%,8,11,3
35,212,35,1,350000.00,5%,6,4,2
36,216,36,1,400000.00,5%,5,5,2
37,222,37,6,8500000.00,22%,15,12,4
38,226,38,5,3500000.00,20%,9,11,2
39,234,39,3,1000000.00,10%,5,9,1
40,244,40,2,500000.00,5%,5,5,1
41,246,41,3,800000.00,10%,8,9,2
42,250,42,3,900000.00,10%,6,7,1
43,263,43,5,4500000.00,20%,9,8,3
44,269,44,3,500000.00,10%,7,4,2
45,272,45,4,2750000.00,15%,10,11,3
46,277,46,4,2750000.00,15%,6,9,2
47,282,47,4,2750000.00,15%,10,6,2
48,286,48,2,350000.00,5%,4,6,1
49,299,49,1,300000.00,5%,5,5,2
50,314,50,6,8500000.00,22%,19,15,3
51,318,51,4,3000000.00,15%,9,6,3
52,320,52,5,5500000.00,20%,12,9,2
53,324,53,2,500000.00,5%,6,2,1
54,326,54,5,3000000.00,20%,12,11,3
55,328,55,2,450000.00,5%,6,6,2
56,330,56,5,3000000.00,20%,10,12,3
57,338,57,6,8000000.00,22%,10,15,3
58,347,58,1,500000.00,5%,4,6,1
59,353,59,4,1750000.00,15%,10,7,2
60,356,60,6,9000000.00,22%,19,21,2
61,357,61,4,2500000.00,15%,6,7,3
62,366,62,1,400000.00,5%,5,2,2
63,367,63,4,1250000.00,15%,7,6,2
64,382,64,1,450000.00,5%,5,4,2
65,407,65,2,450000.00,5%,4,6,2
66,411,66,2,250000.00,5%,6,6,2
67,422,67,6,8500000.00,22%,15,24,4
68,456,68,2,500000.00,5%,5,3,1
69,458,69,5,4000000.00,20%,11,11,2
70,460,70,6,8000000.00,22%,20,18,3
71,465,71,3,900000.00,10%,8,7,1
72,471,72,1,450000.00,5%,6,3,1
73,476,73,1,250000.00,5%,6,4,2
74,493,74,1,350000.00,5%,4,5,2
75,501,75,2,450000.00,5%,6,4,1
76,509,76,3,600000.00,10%,4,5,2
77,510,77,4,2500000.00,15%,8,6,2
78,515,78,4,1000000.00,15%,9,11,3
79,523,79,6,10000000.00,22%,11,15,3
80,524,80,2,250000.00,5%,5,3,1
81,526,81,2,450000.00,5%,5,6,1
82,529,82,2,500000.00,5%,3,4,2
83,533,83,4,1500000.00,15%,9,10,3
84,536,84,1,400000.00,5%,6,4,2
85,537,85,5,5000000.00,20%,9,13,2
86,542,86,5,6000000.00,20%,12,10,3
87,564,87,1,250000.00,5%,5,6,1
88,571,88,5,4500000.00,20%,8,10,3
89,573,89,2,450000.00,5%,3,5,2
90,576,90,5,3000000.00,20%,10,8,3
91,581,91,5,3500000.00,20%,8,10,3
92,583,92,6,6500000.00,22%,17,13,4
93,587,93,1,450000.00,5%,6,6,2
94,591,94,5,4000000.00,20%,9,9,3
95,596,95,2,250000.00,5%,6,6,1
96,601,96,2,250000.00,5%,3,3,2
97,604,97,5,4000000.00,20%,8,11,3
98,607,98,3,800000.00,10%,5,7,2
99,609,99,4,2000000.00,15%,7,10,3
100,624,100,4,2000000.00,15%,10,8,2
101,648,101,1,400000.00,5%,6,5,1
102,652,102,1,350000.00,5%,4,6,1
103,657,103,2,250000.00,5%,5,2,1
104,659,104,6,9000000.00,22%,16,16,4
105,665,105,4,2750000.00,15%,7,11,2
106,673,106,6,8500000.00,22%,18,17,4
107,681,107,3,900000.00,10%,8,9,1
108,686,108,1,500000.00,5%,5,3,1
109,688,109,3,1000000.00,10%,7,10,1
110,691,110,4,2000000.00,15%,7,11,2
111,697,111,5,3000000.00,20%,11,13,3
112,700,112,4,2500000.00,15%,7,11,2
113,704,113,1,250000.00,5%,4,6,2
114,710,114,1,350000.00,5%,3,5,1
115,713,115,5,5500000.00,20%,10,12,3
116,715,116,2,400000.00,5%,3,5,2
117,720,117,5,3500000.00,20%,12,10,2
118,731,118,3,700000.00,10%,6,8,1
119,734,119,6,9000000.00,22%,18,14,4
120,741,120,2,350000.00,5%,4,3,2
121,755,121,5,5000000.00,20%,12,10,3
122,760,122,5,3500000.00,20%,12,11,2
123,762,123,6,7500000.00,22%,17,20,4
124,777,124,6,6500000.00,22%,13,24,2
125,785,125,2,300000.00,5%,6,4,2
126,788,126,6,7500000.00,22%,18,13,4
127,791,127,4,1750000.00,15%,8,10,2
128,793,128,6,7500000.00,22%,16,24,2
129,806,129,5,4500000.00,20%,12,12,2
130,808,130,4,3000000.00,15%,7,10,2
131,836,131,2,400000.00,5%,4,5,2
132,843,132,4,2500000.00,15%,10,7,3
133,844,133,1,250000.00,5%,5,3,2
134,846,134,1,500000.00,5%,3,4,2
135,855,135,5,3000000.00,20%,12,12,3
136,859,136,4,1000000.00,15%,8,7,3
137,870,137,5,3000000.00,20%,9,9,3
138,881,138,4,2000000.00,15%,9,7,2
139,890,139,4,2250000.00,15%,6,6,2
140,905,140,3,600000.00,10%,7,5,1
141,907,141,1,450000.00,5%,6,3,2
142,910,142,4,3000000.00,15%,7,8,3
143,914,143,6,8000000.00,22%,12,14,3
144,920,144,5,6000000.00,20%,9,10,2
145,923,145,4,2500000.00,15%,10,11,3
146,925,146,5,4000000.00,20%,10,14,2
147,930,147,2,500000.00,5%,4,2,2
148,971,148,4,1750000.00,15%,7,11,3
149,981,149,5,4500000.00,20%,8,8,3
150,993,150,5,5500000.00,20%,12,13,3
151,1000,151,1,250000.00,5%,5,6,1
152,1002,152,2,350000.00,5%,3,6,2
153,1011,153,4,2500000.00,15%,6,7,2
154,1018,154,5,5500000.00,20%,8,8,3
155,1024,155,6,7000000.00,22%,12,15,4
156,1029,156,1,450000.00,5%,5,5,2
157,1032,157,2,350000.00,5%,5,2,1
158,1041,158,5,4000000.00,20%,12,13,2
159,1046,159,1,300000.00,5%,3,6,1
160,1047,160,4,2500000.00,15%,6,10,2
161,1057,161,5,5000000.00,20%,11,9,3
162,1059,162,3,800000.00,10%,4,10,1
163,1068,163,1,500000.00,5%,3,6,2
164,1069,164,6,6500000.00,22%,18,20,2
165,1074,165,1,350000.00,5%,6,5,1
166,1075,166,5,5500000.00,20%,11,9,2
167,1077,167,6,6500000.00,22%,20,24,2
168,1081,168,2,450000.00,5%,4,5,2
169,1087,169,3,700000.00,10%,7,4,2
170,1092,170,5,5500000.00,20%,10,9,2
171,1112,171,5,5500000.00,20%,11,10,3
172,1122,172,4,1500000.00,15%,6,10,2
173,1134,173,2,500000.00,5%,5,6,2
174,1138,174,3,600000.00,10%,6,5,2
175,1139,175,1,250000.00,5%,4,5,1
176,1141,176,6,8500000.00,22%,11,22,3
177,1148,177,3,800000.00,10%,4,10,2
178,1153,178,1,500000.00,5%,5,2,1
