1,6,15,700000.00,No
2,16,32,4300000.00,No
3,17,29,1600000.00,Si
4,21,7,2000000.00,No
5,27,53,900000.00,No
6,32,50,3200000.00,Si
7,33,40,2300000.00,Si
8,34,27,2300000.00,No
9,39,6,4800000.00,Si
10,41,39,2500000.00,Si
11,49,23,1300000.00,No
12,53,52,3300000.00,No
13,68,32,2100000.00,No
14,71,2,4000000.00,No
15,84,8,800000.00,Si
16,85,12,3400000.00,No
17,89,38,2800000.00,Si
18,90,5,1900000.00,No
19,94,23,800000.00,No
20,102,32,4700000.00,No
21,105,22,1700000.00,No
22,107,52,4100000.00,Si
23,114,51,1800000.00,Si
24,116,50,1100000.00,No
25,123,28,3900000.00,Si
26,128,39,1800000.00,No
27,130,45,2600000.00,No
28,134,53,500000.00,Si
29,141,25,600000.00,No
30,143,21,1600000.00,No
31,144,45,2400000.00,Si
32,145,33,3100000.00,No
33,146,3,4000000.00,No
34,153,9,1600000.00,Si
35,154,21,3700000.00,No
36,157,43,2600000.00,No
37,161,20,2100000.00,No
38,166,53,4900000.00,No
39,169,17,4900000.00,No
40,170,49,3900000.00,No
41,185,25,4400000.00,No
42,190,21,2800000.00,No
43,198,49,4100000.00,No
44,199,31,1800000.00,No
45,205,39,500000.00,No
46,208,35,3200000.00,Si
47,210,6,2000000.00,No
48,211,10,1600000.00,No
49,217,8,4500000.00,No
50,219,41,3200000.00,No
51,221,31,2100000.00,Si
52,224,13,2100000.00,No
53,229,30,2100000.00,Si
54,230,17,4900000.00,Si
55,238,30,1500000.00,No
56,242,43,1000000.00,No
57,245,11,4000000.00,No
58,249,29,800000.00,Si
59,258,42,4100000.00,No
60,266,50,3500000.00,Si
61,270,5,800000.00,No
62,279,12,2200000.00,No
63,280,50,4500000.00,Si
64,284,18,2500000.00,No
65,288,14,500000.00,No
66,292,14,4700000.00,No
67,295,40,1500000.00,No
68,296,20,3700000.00,Si
69,298,11,2500000.00,Si
70,301,18,2800000.00,Si
71,302,53,700000.00,No
72,308,44,1900000.00,No
73,309,19,5000000.00,No
74,313,18,1000000.00,Si
75,321,37,3100000.00,No
76,329,10,1100000.00,No
77,331,25,4300000.00,No
78,334,10,2000000.00,No
79,336,51,3900000.00,No
80,337,10,5000000.00,No
81,343,4,4900000.00,No
82,348,41,2500000.00,Si
83,359,33,4000000.00,No
84,360,41,4100000.00,No
85,361,36,600000.00,No
86,364,21,3700000.00,No
87,369,23,3100000.00,No
88,374,37,900000.00,No
89,375,37,1500000.00,No
90,376,35,2700000.00,No
91,380,30,1700000.00,No
92,385,44,5000000.00,No
93,393,35,1300000.00,Si
94,394,39,700000.00,No
95,402,44,1100000.00,No
96,405,18,3300000.00,No
97,410,4,1600000.00,Si
98,412,30,3300000.00,No
99,415,29,4100000.00,No
100,419,6,4000000.00,No
101,420,35,2400000.00,Si
102,423,33,4600000.00,No
103,428,2,1100000.00,No
104,429,39,4100000.00,No
105,433,51,5000000.00,No
106,434,53,1700000.00,No
107,443,35,3800000.00,Si
108,444,39,2000000.00,No
109,452,19,1400000.00,No
110,455,4,3900000.00,Si
111,461,19,700000.00,No
112,466,18,1700000.00,No
113,467,3,900000.00,No
114,468,52,2700000.00,No
115,470,28,3900000.00,No
116,472,40,700000.00,No
117,473,16,900000.00,No
118,474,40,2800000.00,Si
119,475,52,5000000.00,No
120,482,11,500000.00,No
121,486,41,3500000.00,No
122,488,37,800000.00,Si
123,491,47,1700000.00,No
124,492,18,4900000.00,Si
125,498,41,3300000.00,No
126,499,45,3400000.00,No
127,500,12,2200000.00,Si
128,504,23,900000.00,Si
129,505,44,1600000.00,No
130,508,32,1700000.00,No
131,511,14,2900000.00,No
132,512,12,4400000.00,No
133,516,36,4200000.00,No
134,517,29,5000000.00,No
135,520,15,1400000.00,No
136,522,18,3000000.00,No
137,530,30,3900000.00,No
138,534,24,4100000.00,No
139,539,28,2200000.00,Si
140,544,4,1400000.00,Si
141,555,38,900000.00,No
142,556,19,500000.00,No
143,557,51,2900000.00,No
144,558,6,2500000.00,No
145,559,7,1800000.00,No
146,567,44,1800000.00,No
147,568,42,4900000.00,Si
148,574,7,3300000.00,Si
149,575,8,1000000.00,No
150,579,48,2600000.00,No
151,585,15,1600000.00,No
152,592,5,600000.00,No
153,597,47,900000.00,Si
154,615,1,2400000.00,No
155,617,44,1800000.00,No
156,619,48,3500000.00,No
157,621,5,2100000.00,No
158,626,31,800000.00,No
159,628,43,3800000.00,No
160,631,17,2900000.00,No
161,634,17,700000.00,No
162,637,8,4400000.00,No
163,643,36,1700000.00,No
164,644,13,700000.00,No
165,647,30,3100000.00,No
166,651,47,2900000.00,No
167,653,50,2100000.00,No
168,654,46,600000.00,No
169,664,35,2000000.00,No
170,666,1,1800000.00,No
171,677,23,1100000.00,No
172,683,20,3000000.00,Si
173,685,22,1700000.00,No
174,687,17,4600000.00,No
175,694,49,1800000.00,Si
176,701,32,4000000.00,No
177,703,16,5000000.00,Si
178,705,52,4200000.00,No
179,707,24,4200000.00,No
180,711,44,5000000.00,No
181,718,51,2800000.00,No
182,725,50,2900000.00,No
183,727,40,4400000.00,Si
184,729,53,4900000.00,No
185,730,42,2100000.00,No
186,733,32,1700000.00,No
187,736,10,3300000.00,No
188,738,44,3900000.00,No
189,739,15,700000.00,No
190,744,32,1100000.00,No
191,749,34,4000000.00,No
192,754,17,2000000.00,Si
193,757,31,2900000.00,No
194,758,26,2900000.00,No
195,764,35,1900000.00,No
196,768,33,4600000.00,No
197,776,42,1400000.00,Si
198,778,16,3600000.00,Si
199,781,50,1100000.00,Si
200,787,44,4300000.00,No
201,792,21,1200000.00,No
202,795,22,4100000.00,No
203,802,48,1800000.00,Si
204,805,11,2100000.00,No
205,809,8,2100000.00,No
206,810,41,1000000.00,No
207,812,41,2400000.00,No
208,827,52,4700000.00,No
209,840,22,2900000.00,No
210,841,42,3300000.00,No
211,842,20,1100000.00,No
212,851,11,4200000.00,No
213,853,34,3000000.00,No
214,854,47,600000.00,No
215,860,12,4900000.00,Si
216,863,13,2200000.00,No
217,871,43,3700000.00,No
218,872,19,2800000.00,Si
219,879,30,3400000.00,No
220,880,37,700000.00,No
221,884,4,4800000.00,No
222,885,26,1700000.00,Si
223,888,9,2700000.00,No
224,889,22,2100000.00,No
225,891,51,1300000.00,No
226,896,49,4800000.00,Si
227,898,41,900000.00,Si
228,900,51,2600000.00,No
229,902,1,1700000.00,Si
230,916,40,3100000.00,No
231,922,46,600000.00,No
232,932,12,3700000.00,No
233,934,49,1900000.00,No
234,937,28,2400000.00,Si
235,940,19,4800000.00,No
236,942,44,1700000.00,No
237,948,8,4500000.00,No
238,949,34,4900000.00,Si
239,950,46,4400000.00,No
240,954,39,3900000.00,No
241,955,32,4800000.00,No
242,956,12,3700000.00,No
